Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
455299 (2002 EL6),455299,2002 EL6,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.302,0.577,9.51,84.95,186.56,166.44,0.537,18,0.386,,,1280,3.51,19.57,3.63,0.97,,
279816 (2000 JE5),279816,2000 JE5,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.238,0.4007,50.74,41.24,285.17,60.71,0.544,19,,,,503,1.38,26.78,1.73,0.74,,
474158 (1999 FA),474158,1999 FA,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.078,0.1328,12.03,166.09,297.03,25.29,0.355,20.64,,,S,409,1.12,28.67,1.22,0.93,10.09,
2019 LG6,2019 LG6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2458645.5,2.278,0.7373,16.9,95.85,260.59,345.42,0.15,21.8,,,,1260,3.45,19.67,3.96,0.6,,
2012 YO1,2012 YO1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.824,0.4899,17.47,85.83,312.7,179.64,0.189,21.3,,,,900,2.47,22.05,2.72,0.93,,
2012 HZ33,2012 HZ33,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.197,0.2103,23.88,54.91,231.59,305.58,0.285,20.4,,,,479,1.31,27.19,1.45,0.95,,
2001 FB90,2001 FB90,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2451993.5,2.455,0.782,1.92,266.05,14.64,343.04,0.376,19.8,,,,1400,3.84,19.08,4.37,0.54,,
2005 GY8,2005 GY8,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.047,0.6732,2.83,179.68,103.48,168.78,0.143,21.9,,,,1070,2.93,20.81,3.43,0.67,,
2011 GS60,2011 GS60,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,3.358,0.9225,19.29,137.57,307.51,245.96,0.544,19,,,,2250,6.16,16.24,6.46,0.26,,
2020 PY4,2020 PY4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459075.5,2.524,0.802,8.58,142.78,65.15,20.88,0.189,21.3,,,,1460,4,18.81,4.55,0.5,,
2011 SO32,2011 SO32,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.724,0.4768,9.91,198.74,243.62,83.79,0.198,21.19,,,,827,2.27,22.68,2.55,0.9,,
2015 PM,2015 PM,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.307,0.6328,7.46,181.09,244.29,293.03,0.279,20.45,,,,546,1.5,26.04,2.13,0.48,,
2012 VC82,2012 VC82,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.381,0.5808,10.81,355.35,29.23,126.47,0.313,20.2,,,,1340,3.67,19.33,3.76,1,,
2018 XR,2018 XR,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.152,0.6676,20.52,78.39,114.41,264.98,0.685,18.5,,,,1150,3.15,20.36,3.59,0.72,15.27,
2008 HH,2008 HH,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.366,0.3557,16.32,196.66,116.01,39.14,0.143,21.9,,,,583,1.6,25.49,1.85,0.88,,
14827 Hypnos (1986 JK),14827 హిప్నోస్,1986 JK,14827 Hypnos (1986 JK),Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,2.842,0.6661,1.98,57.95,238.15,134.14,0.9,18.3,,,,1750,4.79,17.67,4.74,0.95,,
2003 RB5,2003 RB5,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2452889.5,1.884,0.4716,44.62,341.93,27.59,352.17,0.197,21.2,,,,945,2.59,21.69,2.77,1,,
2019 SH,2019 SH,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2458745.5,1.217,0.4748,45.14,179.15,273.01,315.24,0.143,21.9,,,,491,1.35,26.97,1.79,0.64,,
2018 TO1,2018 TO1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.535,0.3961,3.65,91.22,218.63,187.54,0.157,21.7,,,,694,1.9,24.06,2.14,0.93,,
2004 TP1,2004 TP1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.291,0.3894,7.49,30.05,87.87,94,0.249,20.7,,,,536,1.47,26.2,1.79,0.79,,
140158 (2001 SX169),140158,2001 SX169,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.347,0.461,2.52,126.8,42.66,55.65,0.566,18.45,0.289,,,571,1.56,25.66,1.97,0.73,3.14,
2017 JE3,2017 JE3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.075,0.463,6.98,36.54,61.97,326.16,0.13,22.1,,,,407,1.12,28.73,1.57,0.58,,
2017 PV26,2017 PV26,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.464,0.6096,14.13,355.94,27.23,348.64,0.197,21.2,,,,1410,3.86,19.01,3.97,0.96,,
162825 (2001 BO61),162825,2001 BO61,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.774,0.7431,9.08,159.8,78.83,196.77,0.846,18.04,,,,863,2.36,22.36,3.09,0.46,,
2020 YL1,2020 YL1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459210.5,1.979,0.602,48.89,283.35,71.13,32.02,0.28,20.44,,,,1020,2.79,21.11,3.17,0.79,,
2012 JS11,2012 JS11,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.822,0.6742,9.54,208.02,124.13,305.56,0.299,20.3,,,,1730,4.74,17.75,4.72,0.92,,
294739 (2008 CM),294739,2008 CM,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.566,0.408,36.01,279.56,130.65,311.3,0.74,17.09,0.425,,,716,1.96,23.79,2.2,0.93,3.06,
12538 (1998 OH),12538,1998 OH,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,1.542,0.406,24.52,220.73,321.72,57.13,1.663,15.92,0.232,,S:,699,1.92,24,2.17,0.92,2.58,
52768 (1998 OR2),52768,1998 OR2,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,2.383,0.5737,5.87,26.95,174.57,118.15,1.75,16,,,,1340,3.67,19.35,3.75,1.02,4.11,
357024 (1999 YR14),357024,1999 YR14,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field ,క్రికెట్ మైదానం అంత ,1,1,2459396.5,1.651,0.4,3.73,2.99,9.66,86.61,0.255,19.45,0.43,,,775,2.12,23.18,2.31,0.99,4.25,
2014 OT111,2014 OT111,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.213,0.5538,8.36,307.21,320.42,46.77,0.157,21.7,,,,1200,3.29,20.06,3.44,0.99,19.41,
2005 LX36,2005 LX36,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.03,0.5754,32.97,252.75,239.13,190.8,0.237,20.8,,,,382,1.05,29.33,1.62,0.44,,
2012 KU12,2012 KU12,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.639,0.4888,8.62,53.14,74.29,177.92,0.164,21.6,,,,766,2.1,23.28,2.44,0.84,,
417612 (2006 WQ29),417612,2006 WQ29,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.601,0.3935,8.07,112,136.59,248.98,0.714,18.41,,,,740,2.03,23.54,2.23,0.97,,
2018 BA7,2018 BA7,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.477,0.4922,18.37,322.39,67.79,1.86,0.624,18.7,,,,656,1.8,24.49,2.2,0.75,,
374038 (2004 HW),374038,2004 HW,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon,తెలంగాణ సచివాలయం అంత,1,1,2459396.5,2.694,0.6346,0.83,219.83,62.9,314.62,1.305,17.1,,,,1620,4.44,18.09,4.4,0.98,2.52,
2007 FF1,2007 FF1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.52,0.4822,8.22,21.6,234.62,191.64,0.15,21.8,,,,684,1.87,24.18,2.25,0.79,,
2009 JR,2009 JR,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.731,0.4893,8.4,225.47,295.09,144.27,0.18,21.4,,,,832,2.28,22.63,2.58,0.88,,
2019 XK3,2019 XK3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.379,0.7157,5.59,88.13,232.39,180.8,0.237,20.8,,,,1340,3.67,19.31,4.08,0.68,,
2017 WK14,2017 WK14,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.129,0.5757,6.23,215.18,148.13,70.05,0.15,21.8,,,,1140,3.12,20.32,3.35,0.9,,
2004 RF84,2004 RF84,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.164,0.6039,23.29,344.53,122.66,58.77,0.717,18.4,,,,1160,3.18,20.3,3.47,0.86,,
2021 CD6,2021 CD6,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.228,0.557,15.87,196.18,202.51,62.76,0.283,20.42,,,,1220,3.34,19.87,3.47,0.99,,
27002 (1998 DV9),27002,1998 DV9,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.744,0.434,8.7,130.37,0.79,48.39,0.775,18.23,,,,841,2.3,22.56,2.5,0.99,,
207398 (2006 AS2),207398,2006 AS2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.093,0.6385,2.59,125.94,79.59,18.04,0.289,20.37,,,,1110,3.04,20.51,3.43,0.76,4.48,
461852 (2006 GY2),461852,2006 GY2,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.858,0.496,30.56,54.3,216.75,338.71,0.596,18.8,,,,925,2.53,21.85,2.78,0.94,2.25,
2003 CG11,2003 CG11,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.59,0.7349,21.28,130.43,107.19,133.31,0.273,20.5,,,,1520,4.16,18.54,4.49,0.69,,
417634 (2006 XG1),417634,2006 XG1,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,2.457,0.596,20.5,38.47,344.1,284.35,0.418,18.5,0.154,,,1410,3.86,18.96,3.92,0.99,,
2002 SQ41,2002 SQ41,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.61,0.7994,25.1,21.67,96,148.94,0.328,20.1,,,,1540,4.22,18.44,4.7,0.52,,
2017 BP31,2017 BP31,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.116,0.6984,1.61,48.4,202.72,133.17,0.376,19.8,,,,1120,3.07,20.55,3.59,0.64,,
2000 WH10,2000 WH10,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2451869.5,2.523,0.6616,13.27,50.35,63.26,350.12,0.163,21.62,,,,1460,4,18.8,4.19,0.85,0.02,
2020 FR1,2020 FR1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.406,0.6142,13.11,26.47,255.79,237.06,0.197,21.2,,,,609,1.67,25.12,2.27,0.54,,
2017 WV13,2017 WV13,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.288,0.677,12.08,253.75,298.07,116.95,0.197,21.2,,,,534,1.46,26.24,2.16,0.42,,
2007 BJ29,2007 BJ29,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.185,0.8257,11.08,242.02,119.52,184.77,0.624,18.7,,,,1180,3.23,20.14,3.99,0.38,,
2011 DS9,2011 DS9,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.62,0.643,3.7,93.34,146.29,139.72,0.313,20.2,,,,1550,4.25,18.39,4.3,0.94,,
2015 OC22,2015 OC22,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.149,0.9025,11.64,124.8,321.6,297.31,0.343,20,,,,1150,3.15,20.33,4.09,0.21,,
2009 BD81,2009 BD81,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2454870.5,2.593,0.6394,12.46,344.38,190.54,352.58,0.249,20.7,,,,1520,4.16,18.56,4.25,0.94,,
2020 VM1,2020 VM1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459164.5,2.488,0.6111,45.43,31.37,330.2,7.51,0.237,20.8,,,,1430,3.92,18.93,4.01,0.97,,
2020 WG,2020 WG,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.509,0.6001,7.62,32.8,348.77,61.3,0.155,21.73,,,,1450,3.97,18.82,4.01,1,,
416801 (2005 GC120),416801,2005 GC120,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.194,0.4976,16.53,67.95,258.28,83.08,0.906,19.59,0.031,,,476,1.3,27.29,1.79,0.6,9,
2012 SD22,2012 SD22,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.964,0.5725,7.91,140.25,313.86,34.21,0.328,20.1,,,,1010,2.77,21.15,3.09,0.84,,
216985 (2000 QK130),216985,2000 QK130,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.181,0.2618,4.72,173.88,66.29,152.99,0.287,21.1,,,,469,1.28,27.39,1.49,0.87,,
2012 PS4,2012 PS4,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.768,0.5924,3.94,86.24,144.18,307.62,0.189,21.3,,,,859,2.35,22.39,2.82,0.72,,
2015 TE323,2015 TE323,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.204,0.5978,9.57,194.31,323.66,205.85,0.751,18.3,,,,1200,3.29,19.98,3.52,0.89,,
2013 US3,2013 US3,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.202,0.1853,12.32,39.57,134.14,176.88,0.262,21.3,,,,482,1.32,27.13,1.42,0.98,450,
434196 (2003 HG2),434196,2003 HG2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.062,0.1346,19.78,214.25,225.4,341.63,0.189,21.3,,,,400,1.1,28.88,1.2,0.92,,
2006 VT13,2006 VT13,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.583,0.6249,2.11,321.61,43.95,199.6,0.237,20.8,,,,1520,4.16,18.49,4.2,0.97,,
2016 EJ56,2016 EJ56,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.39,0.4546,28.37,168.64,95.15,35.64,0.157,21.7,,,,599,1.64,25.25,2.02,0.76,,
137126 (1999 CF9),137126,1999 CF9,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.773,0.6002,5.55,157.07,90.28,138.46,0.862,18,,,Q,862,2.36,22.38,2.84,0.71,,
2002 PE130,2002 PE130,,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.551,0.6248,15.56,357.21,33.94,208.29,0.786,18.2,,,,1490,4.08,18.63,4.14,0.96,,
463387 (2013 CT82),463387,2013 CT82,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,2.084,0.6249,1.8,271.47,90.41,355.88,0.73,18.36,,,,1100,3.01,20.61,3.39,0.78,,
523814 (2008 WN2),523814,2008 WN2,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.418,0.312,3.75,227.14,283.3,113.24,0.345,20.7,,,,617,1.69,25,1.86,0.98,,
410778 (2009 FG19),410778,2009 FG19,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Pentagon ,తెలంగాణ సచివాలయం అంత ,1,1,2459396.5,2.911,0.7199,54.5,187.54,120.4,138.62,1.457,18.13,0.048,,,1810,4.96,17.5,5.01,0.82,8,
217430 (2005 SN25),217430,2005 SN25,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.23,0.2704,13.01,168.31,45.14,331.29,0.392,19.71,,,,498,1.36,26.87,1.56,0.9,,
2007 VP243,2007 VP243,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.258,0.5822,5.65,13.94,312.1,31.25,0.18,21.4,,,,1240,3.4,19.81,3.57,0.94,,
2000 DN1,2000 DN1,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.889,0.6682,7.78,42.07,146.38,120.49,0.359,19.9,,,,1790,4.9,17.56,4.82,0.96,,
414287 (2008 OB9),414287,2008 OB9,Mid-sized Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Mount Everest ,ఎవెరెస్టు పర్వతం అంత ,1,1,2459396.5,3.206,0.7587,13.5,202.7,238.57,55.9,1.974,17.7,0.038,,,2100,5.75,16.61,5.64,0.77,42.5,
2018 BY2,2018 BY2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.641,0.3819,9,202.43,330.22,202.64,0.273,20.5,,,,768,2.1,23.25,2.27,1.01,7.61,
417211 (2005 XL80),417211,2005 XL80,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.727,0.4874,10.89,53.37,143.58,260.59,0.717,18.4,,,,829,2.27,22.66,2.57,0.89,,
385605 (2005 EJ225),385605,2005 EJ225,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge,నాగార్జున సాగర్ అంత,1,1,2459396.5,1.706,0.5731,8.86,342.1,290.6,58.71,0.544,19,,,,814,2.23,22.8,2.68,0.73,,
2007 AC2,2007 AC2,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.416,0.7436,9.51,294.46,91.05,317.48,0.15,21.8,,,,1370,3.75,19.19,4.21,0.62,,
357022 (1999 YG3),357022,1999 YG3,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building ,తిరుమల కొండ అంత ,1,1,2459396.5,1.285,0.3296,34.52,293.28,250.22,223.59,0.432,19,0.217,,S,532,1.46,26.28,1.71,0.86,,
2017 AN19,2017 AN19,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.495,0.3688,19.77,281.33,329.32,58.55,0.394,19.7,,,,668,1.83,24.35,2.05,0.94,,
2006 KY86,2006 KY86,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.3,0.6461,7.42,222.54,321.31,133.28,0.394,19.7,,,,1270,3.48,19.7,3.79,0.81,,
2016 OP5,2016 OP5,,Very small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.616,0.4523,8.23,79.55,290.97,120.53,0.237,20.8,,,,750,2.05,23.44,2.35,0.89,,
162998 (2001 SK162),162998,2001 SK162,Small Apollo-class Asteroid,Apollo-class Asteroid,అపోలో వర్గానికి చెందిన గ్రహశకలం,Golden Gate Bridge ,నాగార్జున సాగర్ అంత ,1,1,2459396.5,1.925,0.4749,1.68,285.38,186.39,97.47,0.875,17.89,0.161,,T,976,2.67,21.46,2.84,1.01,68,
