Heading,Heading_Telugu,Name_code,Subheading,Category,Category_Telugu,Size_Obj,Size_Obj_Telugu,Is_Near_Earth_Object,Is_Potentially_Hazardous_Object,Epoch,Semi_Major_Axis_AU,Eccentricity,Inclination_Degrees,Longitude_of_Ascending_Node_Degrees,Argument_of_Periapsis_Degrees,Mean_Anomaly_Degrees,Diameter_km,Magnitude,Albedo,Spectral_Type_Tholen,Spectral_Type_SMASS,Orbit_Period_Days,Orbit_Period_Years,Avg_Orbit_Speed,Aphelion_Distance_AU,Perihelion_Distance_AU,Rotation_Period_hours,Approx_Composition
2016 CC30,2016 CC30,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.465,0.5845,35.59,139,2.16,143.7,0.343,20,,,,1410,3.86,19.02,3.91,1.02,14.5,
2002 AT4,2002 AT4,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,1.867,0.4471,1.5,323.46,203.1,207.82,0.197,21.2,,,D,931,2.55,21.82,2.7,1.03,,
2017 SN2,2017 SN2,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.063,0.4911,22.87,2.74,354.88,99.13,0.207,21.1,,,,1080,2.96,20.78,3.08,1.05,,
2002 PF43,2002 PF43,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,1.644,0.3663,13.86,142.76,191.61,342.55,0.249,20.7,,,,770,2.11,23.23,2.25,1.04,,
2009 QJ9,2009 QJ9,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,2.719,0.6207,19.28,157.78,202.18,220.81,0.474,19.3,,,,1640,4.49,18.04,4.41,1.03,,
2011 CB50,2011 CB50,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,football field,క్రికెట్ మైదానం అంత,1,1,2459396.5,2.834,0.6374,12.25,339.88,165.44,67.04,0.227,20.9,,,,1740,4.77,17.72,4.64,1.03,,
3122 Florence (1981 ET3),3122 ఫ్లోరెన్స్,1981 ET3,Mid-sized Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,San Francisco Bay ,హైదరాబాద్ నగరానికి రెండు రెట్లు ,1,1,2459396.5,1.769,0.4232,22.15,336.06,27.85,216.31,4.9,14.04,0.231,,S,859,2.35,22.4,2.52,1.02,2.36,
2002 GJ8,2002 GJ8,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,3.234,0.6819,30.14,144.84,174.46,221.59,0.452,19.4,,,,2120,5.81,16.6,5.44,1.03,,
363084 (2000 RD53),363084,2000 RD53,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,US Capitol building,తిరుమల కొండ అంత,1,1,2459396.5,1.787,0.4279,9.28,175.95,192.78,247.6,0.359,19.9,,,,872,2.39,22.29,2.55,1.02,14.96,
2014 KS40,2014 KS40,,Very small Amor-class Asteroid,Amor-class Asteroid,అమోర్ వర్గానికి చెందిన గ్రహశకలం,school bus or smaller,బస్సు అంత,1,1,2459396.5,2.294,0.5376,2.92,251.38,4.73,11.67,0.13,22.11,,,,1270,3.48,19.65,3.53,1.06,,
